frame,widget_key,renderer,call_index,duration_ms,width,height,cache_hit_if_known
89,exposure_text,text,2,0.0131,144,51,1
89,temp_text,text,3,0.0114,114,51,1
89,alt_text,bar,4,0.9271,337,213,0
90,fit_distance_text,bar,0,1.0938,2324,199,0
90,iso_text,text,1,0.0404,140,51,1
90,exposure_text,text,2,0.0138,144,51,1
90,temp_text,text,3,0.012,114,51,1
90,alt_text,bar,4,1.082,337,213,0
91,fit_distance_text,bar,0,0.9078,2324,199,0
91,iso_text,text,1,0.023,140,51,1
91,exposure_text,text,2,0.0133,144,51,1
91,temp_text,text,3,0.0113,114,51,1
91,alt_text,bar,4,0.9314,337,213,0
92,fit_distance_text,bar,0,0.9138,2324,199,0
92,iso_text,text,1,0.0331,140,51,1
92,exposure_text,text,2,0.0131,144,51,1
92,temp_text,text,3,0.0116,114,51,1
92,alt_text,bar,4,1.0269,337,213,0
93,fit_distance_text,bar,0,1.0753,2324,199,0
93,iso_text,text,1,0.034,140,51,1
93,exposure_text,text,2,0.013,144,51,1
93,temp_text,text,3,0.0116,114,51,1
93,alt_text,bar,4,0.9854,337,213,0
94,fit_distance_text,bar,0,0.8616,2324,199,0
94,iso_text,text,1,0.0213,140,51,1
94,exposure_text,text,2,0.0125,144,51,1
94,temp_text,text,3,0.0115,114,51,1
94,alt_text,bar,4,0.9527,337,213,0
95,fit_distance_text,bar,0,0.9125,2324,199,0
95,iso_text,text,1,0.0217,140,51,1
95,exposure_text,text,2,0.0127,144,51,1
95,temp_text,text,3,0.0115,114,51,1
95,alt_text,bar,4,1.028,337,213,0
96,fit_distance_text,bar,0,0.8443,2324,199,0
96,iso_text,text,1,0.0235,140,51,1
96,exposure_text,text,2,0.0144,144,51,1
96,temp_text,text,3,0.0117,114,51,1
96,alt_text,bar,4,0.9035,337,213,0
97,fit_distance_text,bar,0,0.9208,2324,199,0
97,iso_text,text,1,0.021,140,51,1
97,exposure_text,text,2,0.0148,144,51,1
97,temp_text,text,3,0.0122,114,51,1
97,alt_text,bar,4,0.8738,337,213,0
