ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ns,worker_clear_started_ns,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy,writer_dequeued_ms,writer_queue_depth_after_get,writer_requested_bytes,writer_returned_bytes,writer_write_calls
3765.1342,3762.6512,3720.2526,3762.4842,8,6,68,3722.5827,3762.5013,3762.5194,3762.5026,3762.4876,3761.8509,3765.159,3762.5083,3722.5085,3722.5165,,,3761.8509,6312,3756.6306,3735.6393,3735.5692,False,3762.6314,0,4206272,4206272,1
3767.3491,3766.0591,3722.5874,3765.9821,8,7,69,3724.775,3765.9981,3766.0153,3765.9994,3765.9849,3764.7944,3767.3616,3766.0055,3724.7081,3724.7153,,,3764.7944,33504,3758.7159,3736.2111,3736.1944,False,3766.0554,1,4206272,4206272,1
3769.2971,3767.3769,3725.7845,3765.6773,7,7,70,3727.1764,3766.0183,3766.024,3766.0196,3765.681,3764.7266,3769.3151,3766.0216,3727.0953,3727.1027,,,3764.7266,2116,3758.4252,3746.3575,3746.3285,False,3767.3754,0,4206272,4206272,1
3772.6997,3771.7499,3735.8143,3771.6557,8,6,71,3736.8774,3771.6803,3771.7009,3771.6816,3771.661,3770.9786,3772.7143,3771.6878,3736.7121,3736.7248,,,3770.9786,44060,3766.5932,3753.4352,3753.4132,False,3771.7444,0,4206272,4206272,1
3784.9604,3784.1652,3736.8832,3783.8298,8,7,72,3739.6792,3783.9517,3784.0645,3783.9586,3783.8505,3782.7687,3784.9772,3783.9982,3739.6392,3739.6433,,,3782.7687,6312,3776.4903,3762.4062,3762.3905,False,3784.1591,0,4206272,4206272,1
3791.8105,3790.6145,3739.7311,3790.5118,8,7,73,3741.4234,3790.5253,3790.5457,3790.5267,3790.514,3789.1713,3791.8279,3790.5336,3741.3845,3741.3878,,,3789.1713,2116,3780.0191,3765.3544,3765.3384,False,3790.6076,2,4206272,4206272,1
3794.5342,3791.8436,3746.7942,3785.3085,7,7,74,3748.9431,3790.5488,3790.5553,3790.5506,3785.3119,3784.0786,3794.5466,3790.5527,3748.7424,3748.7563,,,3784.0786,33504,3780.2938,3765.428,3765.4132,False,3791.8418,1,4206272,4206272,1
3796.5753,3794.5597,3753.5673,3789.4685,6,7,75,3761.8432,3790.5571,3790.5635,3790.5583,3789.471,3788.4254,3796.5924,3790.5614,3761.7123,3761.7215,,,3788.4254,44060,3784.4082,3771.683,3771.665,False,3794.5584,0,4206272,4206272,1
3803.7271,3802.3976,3762.524,3802.287,8,7,76,3765.2751,3802.3124,3802.3384,3802.3136,3802.2922,3801.3316,3803.7461,3802.3239,3765.2205,3765.2286,,,3801.3316,6312,3796.9184,3783.9412,3783.8654,False,3802.3922,0,4206272,4206272,1
3808.1068,3806.3642,3766.0259,3805.9113,8,6,77,3767.6612,3806.2106,3806.2436,3806.2132,3805.9208,3805.2221,3808.1337,3806.2236,3767.4538,3767.4652,,,3805.2221,33504,3797.7618,3784.9535,3784.917,False,3806.3572,0,4206272,4206272,1
3813.5898,3808.9963,3767.6726,3808.7132,8,7,78,3769.4026,3808.7337,3808.7607,3808.7355,3808.7188,3807.4281,3813.6115,3808.7451,3769.3579,3769.3609,,,3807.4281,44060,3801.3963,3789.1109,3789.0866,False,3808.9885,0,4206272,4206272,1
3816.5538,3815.8655,3771.7057,3815.7887,8,7,79,3772.8441,3815.8054,3815.8223,3815.8067,3815.7916,3815.2644,3816.5645,3815.8126,3772.7639,3772.7688,,,3815.2644,2116,3810.8127,3790.5257,3790.5084,False,3815.8612,0,4206272,4206272,1
3824.0173,3823.2976,3784.0779,3823.1765,8,7,80,3785.2712,3823.1932,3823.2273,3823.1946,3823.1796,3822.302,3824.0294,3823.2065,3785.1551,3785.1609,,,3822.302,6312,3816.788,3802.1663,3802.1461,False,3823.2907,1,4206272,4206272,1
3826.763,3824.0416,3790.5654,3822.9056,7,5,81,3792.1405,3823.2321,3823.239,3823.2332,3822.91,3822.2355,3826.7782,3823.2365,3791.9219,3791.9349,,,3822.2355,33504,3818.0831,3805.6942,3805.6804,False,3824.0406,0,4206272,4206272,1
3830.6589,3829.2435,3792.1458,3829.0841,8,6,82,3794.7496,3829.1057,3829.1296,3829.1072,3829.089,3828.5447,3830.6678,3829.1143,3794.6182,3794.6282,,,3828.5447,44060,3824.4739,3808.4486,3808.4285,False,3829.2358,0,4206272,4206272,1
3838.9261,3837.7661,3794.7567,3837.5342,7,7,83,3796.7063,3837.566,3837.6715,3837.6289,3837.5399,3836.7566,3838.9319,3837.6444,3796.6508,3796.6547,,,3836.7566,2116,3832.9675,3815.6468,3815.6373,False,3837.7571,0,4206272,4206272,1
3841.1428,3839.7599,3802.3438,3839.6344,6,7,84,3803.8479,3839.6582,3839.6903,3839.6603,3839.6386,3839.1086,3841.1528,3839.67,3803.7962,3803.8,,,3839.1086,33504,3835.8733,3822.6557,3822.6431,False,3839.7552,0,4206272,4206272,1
3853.8341,3853.2537,3806.2535,3853.1375,5,7,85,3808.3144,3853.1536,3853.1713,3853.1549,3853.1403,3852.5685,3853.841,3853.1607,3808.2137,3808.2248,,,3852.5685,6312,3846.473,3822.7008,3822.6854,False,3853.2488,2,4206272,4206272,1
3855.7141,3853.8559,3808.7792,3846.4063,4,7,86,3813.7151,3853.1743,3853.1799,3853.1757,3846.416,3845.6759,3855.7258,3853.1776,3813.6617,3813.6659,,,3845.6759,44060,3842.6485,3829.0252,3829.005,False,3853.8551,1,4206272,4206272,1
3857.2609,3855.7573,3815.8266,3851.9703,3,7,87,3816.7311,3853.1812,3853.1859,3853.1825,3851.9738,3851.4231,3857.2739,3853.1841,3816.6163,3816.6225,,,3851.4231,2116,3849.219,3837.3267,3837.2976,False,3855.7536,1,4206272,4206272,1
3858.9696,3857.2908,3823.2414,3855.6339,2,6,88,3824.2271,3855.6515,3855.6652,3855.6529,3855.6375,3854.9945,3858.982,3855.6601,3824.1102,3824.1181,,,3854.9945,33504,3851.2146,3839.5292,3839.5178,False,3857.2891,0,4206272,4206272,1
3867.6385,3860.3032,3824.2337,3860.2032,1,7,89,3826.8613,3860.2194,3860.2349,3860.2213,3860.2069,3859.5712,3867.6538,3860.2252,3826.8106,3826.8137,,,3859.5712,44060,3856.2875,3846.2418,3846.2267,False,3860.3001,0,4206272,4206272,1
