ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ns,worker_clear_started_ns,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy,writer_dequeued_ms,writer_queue_depth_after_get,writer_requested_bytes,writer_returned_bytes,writer_write_calls
3226.9153,3221.8778,3156.5227,3221.802,8,6,63,3161.2385,3221.8208,3221.8377,3221.8223,3221.8057,3220.7654,3226.9423,3221.8286,3161.1404,3161.1554,,,3220.7654,33812,3207.618,3185.7001,3185.6613,False,3221.8692,0,8294400,8294400,1
3233.2761,3228.5601,3161.2437,3228.35,8,7,64,3165.0704,3228.3894,3228.4569,3228.391,3228.3572,3227.1536,3233.2981,3228.4103,3165.0227,3165.0293,,,3227.1536,40360,3209.1205,3189.9869,3189.962,False,3228.5534,0,8294400,8294400,1
3236.6353,3233.5479,3169.3032,3233.4587,8,7,65,3172.2474,3233.4766,3233.4961,3233.4777,3233.4615,3230.3398,3236.6944,3233.4858,3172.1537,3172.1581,,,3230.3398,44340,3216.484,3200.18,3200.1591,False,3233.5426,0,8294400,8294400,1
3256.3912,3254.6734,3181.5707,3254.5137,8,7,66,3185.2436,3254.5352,3254.5591,3254.5368,3254.5173,3253.6477,3256.4516,3254.5453,3185.0695,3185.083,,,3253.6477,13120,3247.2797,3219.0612,3218.9825,False,3254.6683,1,8294400,8294400,1
3263.2779,3256.4851,3186.2828,3250.0927,7,7,67,3194.4131,3254.5649,3254.5725,3254.5665,3250.0965,3249.3276,3263.3118,3254.5697,3194.3207,3194.3272,,,3249.3276,33812,3240.3104,3221.6098,3221.5798,False,3256.483,0,8294400,8294400,1
3278.2455,3276.0723,3194.493,3275.9177,8,7,68,3199.911,3275.9304,3275.95,3275.9316,3275.9199,3274.8934,3278.2795,3275.9382,3199.7348,3199.747,,,3274.8934,40360,3259.3712,3228.3062,3228.2527,False,3276.0582,2,8294400,8294400,1
3283.96,3278.3174,3200.365,3263.5492,7,7,69,3205.5615,3275.9538,3275.9605,3275.9553,3263.5533,3260.2516,3284.0001,3275.9581,3205.4085,3205.4204,,,3260.2516,44340,3250.8981,3231.7172,3231.6841,False,3278.3135,1,8294400,8294400,1
3289.2422,3284.0447,3219.0712,3274.6432,6,7,70,3220.8657,3275.9618,3275.9666,3275.963,3274.6469,3273.5828,3289.2607,3275.9648,3220.74,3220.7455,,,3273.5828,33812,3260.5244,3249.899,3249.8833,False,3284.0394,0,8294400,8294400,1
3294.7741,3290.1216,3221.8428,3289.8582,8,7,71,3227.0989,3289.9806,3290.0237,3289.9851,3289.8655,3286.6623,3294.7947,3290.0008,3227.0333,3227.0375,,,3286.6623,13120,3270.1926,3254.5517,3254.5132,False,3290.1064,1,8294400,8294400,1
3307.5348,3294.8143,3228.472,3289.9598,7,7,72,3233.4257,3290.0312,3290.04,3290.0328,3289.9623,3288.2103,3307.5697,3290.0367,3233.3682,3233.3735,,,3288.2103,44340,3273.1989,3261.7449,3261.7005,False,3294.8117,0,8294400,8294400,1
3310.9614,3307.8666,3233.5011,3307.7967,8,7,73,3236.9065,3307.8144,3307.8282,3307.8156,3307.8003,3301.88,3310.9741,3307.8214,3236.8165,3236.8226,,,3301.88,33812,3289.034,3274.4884,3274.4431,False,3307.8631,0,8294400,8294400,1
3324.7399,3321.5738,3254.5761,3321.3784,8,6,74,3256.6214,3321.4252,3321.4666,3321.4272,3321.3956,3319.0831,3324.7597,3321.4427,3256.5441,3256.5493,,,3319.0831,40360,3295.1481,3275.935,3275.9073,False,3321.5621,0,8294400,8294400,1
3333.1271,3325.0575,3256.6248,3324.9675,8,7,75,3263.5017,3324.9866,3325.0088,3324.9881,3324.9727,3322.3071,3333.1609,3324.9951,3263.4018,3263.413,,,3322.3071,13120,3303.8215,3287.8461,3287.7856,False,3325.0514,0,8294400,8294400,1
3339.2909,3333.5506,3275.9687,3333.4163,8,5,76,3278.4228,3333.4503,3333.472,3333.4527,3333.4228,3323.7409,3339.3304,3333.4608,3278.3603,3278.3681,,,3323.7409,44340,3305.6049,3289.4052,3289.3812,False,3333.5459,1,8294400,8294400,1
3342.8881,3339.3639,3278.426,3333.4396,7,6,77,3284.4631,3333.4747,3333.4836,3333.4765,3333.4414,3329.0892,3342.9058,3333.4813,3284.1314,3284.1484,,,3329.0892,33812,3315.3556,3302.6137,3302.5841,False,3339.3616,0,8294400,8294400,1
3361.8865,3360.3309,3284.4819,3360.23,8,7,78,3289.5875,3360.2511,3360.2708,3360.2525,3360.233,3358.7142,3361.8988,3360.2597,3289.4474,3289.452,,,3358.7142,40360,3339.9552,3321.2859,3321.2066,False,3360.3258,1,8294400,8294400,1
3367.4373,3361.911,3290.0449,3356.3374,7,6,79,3295.07,3360.2742,3360.2798,3360.2758,3356.3499,3354.8791,3367.4657,3360.2777,3294.8923,3294.9077,,,3354.8791,13120,3342.9511,3323.769,3323.7322,False,3361.91,0,8294400,8294400,1
3374.0754,3370.3287,3295.0788,3370.241,8,7,80,3307.7451,3370.2592,3370.2771,3370.2605,3370.2456,3369.5164,3374.1239,3370.2672,3307.6489,3307.6555,,,3369.5164,44340,3345.9436,3325.5928,3325.5344,False,3370.3243,1,8294400,8294400,1
3378.6204,3374.1583,3307.8323,3367.691,7,7,81,3311.0687,3370.2804,3370.2871,3370.282,3367.6951,3360.8121,3378.6378,3370.2847,3311.0131,3311.0177,,,3360.8121,33812,3346.3936,3330.4576,3330.3399,False,3374.1544,0,8294400,8294400,1
3392.1681,3389.2301,3321.4785,3389.0257,8,7,82,3324.93,3389.0677,3389.1006,3389.0692,3389.032,3385.5265,3392.1882,3389.0806,3324.8553,3324.862,,,3385.5265,13120,3373.9715,3356.0259,3355.9922,False,3389.2191,0,8294400,8294400,1
3401.0362,3395.9009,3325.0137,3395.3941,7,7,83,3333.3505,3395.5716,3395.7164,3395.5733,3395.5419,3394.2871,3401.0508,3395.585,3333.2456,3333.2524,,,3394.2871,40360,3378.8058,3360.209,3360.1815,False,3395.8937,0,8294400,8294400,1
3404.8316,3401.0703,3333.4862,3398.5351,6,6,84,3339.7341,3398.5664,3398.5885,3398.5685,3398.5402,3397.0359,3404.8472,3398.5799,3339.4674,3339.4817,,,3397.0359,33812,3378.9439,3361.5968,3361.5471,False,3401.0683,0,8294400,8294400,1
3410.4015,3407.7677,3339.7625,3407.5393,5,7,85,3343.0973,3407.5866,3407.6329,3407.5927,3407.5459,3406.455,3410.4181,3407.6111,3342.9757,3342.9844,,,3406.455,44340,3388.683,3370.232,3370.1912,False,3407.7581,0,8294400,8294400,1
3418.5518,3416.9747,3360.2824,3416.7961,4,6,86,3362.2083,3416.8346,3416.8685,3416.8359,3416.8047,3415.5372,3418.5601,3416.8489,3361.9983,3362.0136,,,3415.5372,13120,3404.0981,3388.7432,3388.6976,False,3416.97,0,8294400,8294400,1
3427.7491,3426.2007,3362.223,3426.1001,3,7,87,3367.6397,3426.1237,3426.1442,3426.1253,3426.1047,3425.1282,3427.7543,3426.132,3367.5308,3367.536,,,3425.1282,40360,3413.0139,3395.0626,3395.0223,False,3426.1961,0,8294400,8294400,1
3439.1532,3436.9129,3370.2895,3436.7109,2,6,88,3374.2856,3436.7423,3436.7758,3436.7442,3436.716,3434.6818,3439.1773,3436.756,3374.2122,3374.2169,,,3434.6818,33812,3419.1513,3398.3279,3398.2805,False,3436.9032,0,8294400,8294400,1
3444.9891,3439.2069,3374.29,3438.4973,1,7,89,3378.7167,3438.5333,3438.5528,3438.5354,3438.5035,3435.7959,3444.9999,3438.5437,3378.673,3378.6763,,,3435.7959,44340,3423.4552,3407.4029,3407.3536,False,3439.2039,0,8294400,8294400,1
