frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,amf_submitted,amf_received,submit_result,query_result,decoder_copy
67,0.044,13.741,12.9139,0.0022,12.9116,0.2432,0.8135,0.0116,0.197,0.0869,0.2635,0.0091,0.0144,0.0186,0.3662,0.1758,0.1348,14.5729,3,68,63,0,0,0
68,0.0369,24.6145,24.0321,0.0022,24.0298,0.2051,0.5712,0.009,0.1272,0.0561,0.1704,0.0019,0.0117,0.0145,0.2621,0.1464,0.246,25.4107,0,69,64,0,0,0
69,0.0511,20.7273,19.7718,0.0027,19.769,0.306,0.9409,0.0122,0.2217,0.1525,0.2428,0.0032,0.0152,0.0217,0.4245,0.1967,0.2134,21.7587,1,70,65,0,0,0
70,0.1942,18.6414,17.8589,0.0177,17.8405,0.2682,0.7735,0.0123,0.1633,0.0866,0.237,0.0038,0.0094,0.0169,0.3422,0.1589,0.1765,19.6189,2,71,66,0,0,0
71,0.114,15.5016,14.7099,0.0123,14.6973,0.3151,0.7784,0.0135,0.1641,0.0982,0.1827,0.0028,0.0133,0.0199,0.3189,0.1327,0.1561,16.3333,3,72,67,0,0,0
72,0.0384,15.8708,12.2495,0.0023,12.2471,0.9256,3.5835,0.0334,0.6707,0.6257,1.2976,0.0239,0.0388,0.0553,1.7412,0.6264,0.5926,19.2176,0,73,68,0,0,0
73,0.0599,3.2636,2.5879,0.0026,2.5853,0.2494,0.6629,0.0115,0.1363,0.0476,0.2105,0.0055,0.0134,0.0214,0.4574,0.1146,0.1342,4.1309,1,74,69,0,0,0
74,0.0393,24.7261,23.9519,0.0022,23.9495,0.2479,0.7591,0.0115,0.1449,0.1341,0.2095,0.0096,0.0149,0.0202,0.4195,0.209,0.1737,25.7308,2,75,70,0,0,0
75,0.0383,23.0486,22.1823,0.0021,22.1802,0.2697,0.8547,0.0122,0.2052,0.0899,0.267,0.0085,0.0122,0.0187,0.4335,0.1874,0.1742,23.9976,3,76,71,0,0,0
76,0.0424,11.8818,11.2546,0.0025,11.252,0.2653,0.614,0.0099,0.124,0.0639,0.1454,0.0033,0.014,0.0218,0.4266,0.1949,0.1277,12.7909,0,77,72,0,0,0
