frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,submit_result,query_result,decoder_copy
72,0.041,13.2397,12.5223,0.0031,12.5187,12.5105,0.0052,0.001,0.3153,0.7,0.0115,0.1497,0.0761,0.1411,0.0053,0.0103,0.0185,0.2425,0.1317,0.1958,13.9371,0,318363552,2131810080,0,0,116476604,73,68,1,1,0,0,0
73,0.0393,12.553,12.0872,0.0022,12.0845,12.0767,0.0061,0.0009,0.2442,0.4515,0.0087,0.0869,0.0376,0.0707,0.0029,0.0083,0.0146,0.2058,0.129,0.2106,13.2214,1,318363552,2131811488,1,0,116476604,74,69,1,1,0,0,0
74,0.0387,23.9117,23.3131,0.0025,23.3103,23.2969,0.0103,0.0014,0.3208,0.5836,0.0111,0.1113,0.0485,0.0876,0.0033,0.0091,0.0171,0.2952,0.1475,0.1783,24.6737,2,318363552,2131796704,2,0,116476604,75,70,1,1,0,0,0
75,0.0385,25.2697,24.6179,0.0025,24.6151,24.6,0.0103,0.0028,0.3539,0.6355,0.0099,0.1131,0.0538,0.0997,0.0042,0.0096,0.0159,0.2622,0.1555,0.1724,25.9997,3,318363552,2131800224,0,0,116476604,76,71,1,1,0,0,0
76,0.0378,11.9732,11.4351,0.0026,11.4323,11.4225,0.0077,0.0008,0.2805,0.5224,0.0105,0.1036,0.047,0.077,0.0029,0.0093,0.0161,0.231,0.1363,0.1312,12.5907,0,318363552,2131810080,1,0,116476604,77,72,1,1,0,0,0
77,0.0391,12.7342,11.9603,0.0026,11.9572,11.9441,0.0097,0.0016,0.3689,0.7533,0.013,0.154,0.0769,0.1346,0.0048,0.0122,0.0203,0.3385,0.2312,0.1745,13.6341,1,318363552,2131811488,2,0,116476604,78,73,1,1,0,0,0
78,0.039,13.9691,13.1682,0.0022,13.1652,13.1576,0.0057,0.0008,0.3214,0.7835,0.0112,0.188,0.124,0.1346,0.0035,0.0108,0.0167,0.24,0.1769,0.1499,14.6889,2,318363552,2131796704,0,0,116476604,79,74,1,1,0,0,0
79,0.0386,22.04,21.2713,0.0022,21.2688,21.2546,0.0112,0.0014,0.3638,0.7493,0.0116,0.1522,0.0778,0.1375,0.0056,0.0119,0.0193,0.3348,0.2091,0.1858,22.9366,3,318363552,2131800224,1,0,116476604,80,75,1,1,0,0,0
80,0.0688,19.6825,18.7344,0.0036,18.7304,18.717,0.0104,0.0015,0.3637,0.9163,0.0138,0.1979,0.1411,0.1918,0.0066,0.0161,0.0198,0.3678,0.2237,0.1934,20.67,0,318363552,2131810080,2,0,116476604,81,76,1,1,0,0,0
81,0.0473,10.1887,9.7154,0.0029,9.7121,9.7032,0.0066,0.001,0.2446,0.4588,0.0085,0.0887,0.0398,0.0738,0.003,0.008,0.0145,0.2184,0.1673,0.1363,10.8463,1,318363552,2131811488,0,0,116476604,82,77,1,1,0,0,0
82,0.0395,13.6651,13.1338,0.0022,13.1308,13.1213,0.007,0.0009,0.246,0.5136,0.008,0.0918,0.0404,0.1219,0.0048,0.0104,0.0183,0.3323,0.2074,0.159,14.5233,2,318363552,2131796704,1,0,116476604,83,78,1,1,0,0,0
83,0.0377,12.3687,11.6852,0.0025,11.6824,11.6693,0.0102,0.0014,0.3249,0.6685,0.0121,0.143,0.0684,0.1168,0.0024,0.0076,0.0138,0.1959,0.123,0.1309,12.9378,3,318363552,2131800224,2,0,116476604,84,79,1,1,0,0,0
84,0.0381,12.7068,11.8145,0.0021,11.8118,11.8017,0.0079,0.001,0.3681,0.8674,0.0117,0.1922,0.1174,0.1701,0.0069,0.0154,0.023,0.3415,0.1844,0.1522,13.5639,0,318363552,2131810080,0,0,116476604,85,80,1,1,0,0,0
85,0.0385,11.7583,11.3097,0.0023,11.3071,11.2989,0.0062,0.0009,0.2154,0.4337,0.0086,0.0907,0.0404,0.0751,0.003,0.0093,0.0134,0.1986,0.1201,0.1274,12.323,1,318363552,2131811488,1,0,116476604,86,81,1,1,0,0,0
86,0.0496,13.5816,12.7966,0.0033,12.7927,12.7845,0.0062,0.0008,0.3242,0.7655,0.012,0.1526,0.0793,0.19,0.0061,0.0113,0.0184,0.3016,0.133,0.1464,14.3021,2,318363552,2131796704,2,0,116476604,87,82,1,1,0,0,0
87,0.0396,12.8335,12.2631,0.0023,12.2604,12.2527,0.0061,0.0007,0.3119,0.5568,0.0111,0.1132,0.0461,0.0705,0.0032,0.008,0.0136,0.2511,0.1468,0.1469,13.513,3,318363552,2131800224,0,0,116476604,88,83,1,1,0,0,0
88,0.0425,23.1784,22.293,0.0024,22.2904,22.2778,0.0102,0.001,0.4062,0.8688,0.0112,0.1972,0.089,0.1612,0.003,0.0097,0.0148,0.2727,0.1587,0.2352,23.982,0,318363552,2131810080,1,0,116476604,89,84,1,1,0,0,0
89,0.0594,20.7594,19.8685,0.0029,19.865,19.8509,0.0111,0.0013,0.4943,0.8762,0.0258,0.153,0.0684,0.1287,0.0048,0.0082,0.0182,0.303,0.1786,0.2072,21.6259,1,318363552,2131811488,2,0,116476604,90,85,1,1,0,0,0
90,0.1148,6.0836,5.2585,0.0057,5.2521,5.2421,0.0074,0.0011,0.4012,0.8099,0.032,0.1703,0.0716,0.129,0.005,0.0073,0.0182,0.3199,0.194,0.1561,6.997,2,318363552,2131796704,0,0,116476604,91,86,1,1,0,0,0
91,0.0399,12.9413,12.3859,0.0024,12.3829,12.3696,0.009,0.0019,0.2741,0.5386,0.0098,0.096,0.0383,0.1166,0.0032,0.0096,0.0174,0.2391,0.1346,0.1603,13.6113,3,318363552,2131800224,1,0,116476604,92,87,1,1,0,0,0
