frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,amf_submitted,amf_received,submit_result,query_result,decoder_copy
97,0.0943,11.4905,0.0009,0.011,0.2119,0.3924,0.0087,0.0825,0.0313,0.056,0.0015,0.0096,0.014,0.2027,0.125,0.1384,12.1414,1,98,92,0,0,0
98,0.0465,25.4515,0.0008,0.0026,0.2176,0.6558,0.01,0.1913,0.0957,0.1339,0.0065,0.0152,0.0214,0.3325,0.1368,0.1491,26.2256,2,99,93,0,0,0
99,0.0599,11.5431,0.0011,0.0028,0.3012,0.7229,0.0123,0.202,0.0781,0.1244,0.0039,0.0143,0.0195,0.3104,0.1798,0.1762,12.4127,3,100,94,0,0,0
100,0.0448,58.1409,0.001,0.0025,0.2609,0.5458,0.0077,0.1307,0.064,0.0794,0.0024,0.0104,0.0141,0.2123,0.128,0.2611,58.9186,0,101,95,0,0,0
101,0.0426,59.5175,0.0015,0.0026,0.3426,0.6716,0.0157,0.1658,0.0614,0.0826,0.0032,0.0159,0.0233,0.4026,0.281,0.1755,60.576,1,102,96,0,0,0
102,0.0605,60.0519,0.0007,0.0031,0.2281,0.4306,0.012,0.0975,0.0314,0.0593,0.0015,0.0105,0.0185,0.2362,0.2146,0.2999,61.0107,2,103,97,0,0,0
103,0.0498,61.621,0.0012,0.0031,0.4609,0.7388,0.0121,0.1369,0.0473,0.0785,0.0025,0.0166,0.0188,0.3254,0.1563,0.2115,62.487,3,104,98,0,0,0
104,0.0446,67.4604,0.0008,0.0039,0.2671,0.7084,0.0104,0.1739,0.1132,0.1405,0.0027,0.0159,0.0245,0.398,0.3437,0.2353,68.6664,0,105,99,0,0,0
105,0.0584,62.3335,0.001,0.0031,0.2204,0.5225,0.0088,0.1087,0.053,0.1282,0.0028,0.0117,0.0168,0.3074,0.1394,0.1753,63.1251,1,106,100,0,0,0
106,0.0759,71.6905,0.001,0.0052,0.2844,0.8036,0.0127,0.1916,0.1125,0.1957,0.0057,0.0132,0.0201,0.3456,0.1275,0.1507,72.494,2,107,101,0,0,0
107,0.0394,84.954,0.0009,0.0024,0.2203,0.487,0.0114,0.1148,0.0524,0.0847,0.0028,0.0114,0.016,0.2751,0.1425,0.193,85.762,3,108,102,0,0,0
108,0.0524,68.4787,0.0013,0.0027,0.3232,0.6744,0.0141,0.1484,0.0722,0.1126,0.0032,0.0136,0.0195,0.3136,0.1627,0.2304,69.3706,0,109,103,0,0,0
109,0.0414,70.3473,0.0011,0.0022,0.3153,0.7952,0.0138,0.1642,0.1327,0.1644,0.0038,0.0168,0.0267,0.3238,0.1481,0.1743,71.1523,1,110,104,0,0,0
110,0.0441,64.5558,0.0014,0.0025,0.2844,0.6678,0.0138,0.1264,0.0435,0.1928,0.0061,0.0136,0.0204,0.3606,0.2177,0.2311,65.5506,2,111,105,0,0,0
111,0.0419,25.8432,0.0015,0.0021,0.3253,0.6904,0.0134,0.1248,0.0919,0.1322,0.0017,0.0109,0.0201,0.2632,0.1488,0.1836,26.6038,3,112,106,0,0,0
112,0.0389,27.3366,0.0011,0.0019,0.283,0.7883,0.0133,0.1955,0.1472,0.1436,0.0049,0.016,0.0211,0.4475,0.2011,0.1971,28.3689,0,113,107,0,0,0
