frame,canvas_alloc_ms,canvas_clear_ms,canvas_copy_ms,widget_render_ms,widget_composite_ms,alpha_ms,bbox_ms,crop_ms,tobytes_ms,large_bytes_processed
294,0.0,0.02,0.0,11.932,2.5,0.487,0.034,0.709,1.222,35563288
295,0.0,0.02,0.0,11.813,2.5,0.431,0.033,0.71,1.25,35563288
296,0.0,0.02,0.0,11.793,2.5,0.41,0.032,0.77,1.569,35563288
297,0.0,0.02,0.0,11.732,2.5,0.428,0.033,0.752,1.372,35563288
298,0.0,0.02,0.0,12.551,2.5,0.401,0.036,0.702,1.235,35563288
299,0.0,0.02,0.0,11.75,2.5,0.431,0.037,0.625,0.857,35563288
300,0.0,0.02,0.0,13.059,2.5,0.369,0.034,0.634,0.669,35563288
301,0.0,0.02,0.0,12.157,2.5,0.401,0.033,0.693,1.132,35563288
302,0.0,0.02,0.0,13.252,2.5,0.442,0.034,0.766,1.455,35563288
303,0.0,0.02,0.0,12.629,2.5,0.354,0.037,0.66,0.815,35563288
304,0.0,0.02,0.0,11.703,2.5,0.348,0.033,0.632,0.685,35563288
305,0.0,0.02,0.0,12.876,2.5,0.376,0.037,0.73,0.763,35563288
306,0.0,0.02,0.0,24.78,2.5,0.453,0.046,2.108,7.248,35563288
307,0.0,0.02,0.0,10.041,2.5,0.597,0.04,0.855,1.861,35563288
308,0.0,0.02,0.0,12.754,2.5,0.473,0.042,0.857,1.028,35563288
309,0.0,0.02,0.0,11.983,2.5,0.402,0.037,0.773,1.225,35563288
310,0.0,0.02,0.0,12.874,2.5,0.415,0.037,0.685,0.753,35563288
311,0.0,0.02,0.0,13.034,2.5,0.354,0.038,0.652,0.697,35563288
312,0.0,0.02,0.0,13.23,2.5,0.37,0.035,0.698,1.217,35563288
313,0.0,0.02,0.0,23.441,2.5,0.448,0.042,0.737,1.088,35563288
314,0.0,0.02,0.0,13.088,2.5,0.39,0.047,0.743,0.947,35563288
315,0.0,0.02,0.0,12.812,2.5,0.575,0.035,0.749,1.23,35563288
316,0.0,0.02,0.0,12.562,2.5,0.431,0.033,0.752,1.07,35563288
317,0.0,0.02,0.0,12.939,2.5,0.361,0.033,0.806,1.149,35563288
318,0.0,0.02,0.0,12.583,2.5,0.481,0.034,0.634,0.845,35563288
319,0.0,0.02,0.0,12.941,2.5,0.424,0.034,0.966,1.269,35563288
320,0.0,0.02,0.0,12.979,2.5,0.465,0.035,0.697,0.923,35563288
321,0.0,0.02,0.0,12.956,2.5,0.378,0.034,0.661,0.779,35563288
